Experiment_ID,Phase,Config_ID,Variant,Mode,Dataset,Sample_Size,Num_Tasks,Translator,Optimizer,Pass@1_%,Pass@1_Count,Latency_Mean_s,Latency_Median_s,Latency_P90_s,Latency_P95_s,Latency_StdDev,CPU_Avg_%,CPU_Peak_%,Memory_Avg_MB,Memory_Peak_MB,Timestamp,Git_Commit,CPU_Model,CPU_Cores,Status
2.3-C10-CLOUD-164,Legacy,2.3,CLOUD_164,C10,3LM,50,164,OFF,ON,93.9,154,25.36,18.77,44.03,54.04,20.81,0.2,8.0,231.3,240.1,2026-04-21T09:39:16.394392+00:00,807d1d25,x86_64,12,Good
2.4-C12-CLOUD-164,Legacy,2.4,CLOUD_164,C12,3LM,50,164,ON,ON,92.68,152,33.5,24.77,67.05,71.07,21.67,0.19,5.9,231.2,238.0,2026-04-21T11:30:12.905102+00:00,b44b33f4,x86_64,12,Good
3LM-CLOUD-TR_OFF-OPT_OFF-03,Legacy,3LM,TR_OFF_OPT_OFF,CLOUD,3LM,03,3,OFF,OFF,0.0,0,7.01,8.01,8.01,8.01,2.16,0.32,2.0,201.4,201.5,2026-04-18T23:03:10.689350+00:00,2884d442,x86_64,12,Fail
3LM-CLOUD-TR_OFF-OPT_OFF-50,Legacy,3LM,TR_OFF_OPT_OFF,CLOUD,3LM,50,50,OFF,OFF,0.0,0,21.32,17.02,43.54,50.04,15.38,0.24,2.0,202.4,202.6,2026-04-19T03:41:08.917450+00:00,8ac895e8,x86_64,12,Fail
3LM-CLOUD-TR_OFF-OPT_ON-03,Legacy,3LM,TR_OFF_OPT_ON,CLOUD,3LM,03,3,OFF,ON,100.0,3,17.68,14.01,14.01,14.01,7.03,0.24,2.0,203.5,204.6,2026-04-18T23:05:55.789057+00:00,1261576c,x86_64,12,Optimal
3LM-CLOUD-TR_OFF-OPT_ON-50,Legacy,3LM,TR_OFF_OPT_ON,CLOUD,3LM,50,50,OFF,ON,96.0,48,33.21,24.02,72.06,79.06,27.52,0.19,4.0,213.7,220.5,2026-04-19T03:23:08.655997+00:00,9b953ade,x86_64,12,Optimal
3LM-CLOUD-TR_ON-OPT_OFF-03,Legacy,3LM,TR_ON_OPT_OFF,CLOUD,3LM,03,3,ON,OFF,0.0,0,32.03,27.02,27.02,27.02,11.58,0.19,4.0,201.5,201.6,2026-04-18T23:04:55.632998+00:00,a4c762e0,x86_64,12,Fail
3LM-CLOUD-TR_ON-OPT_OFF-50,Legacy,3LM,TR_ON_OPT_OFF,CLOUD,3LM,50,50,ON,OFF,0.0,0,28.61,21.52,53.05,56.55,18.04,0.21,4.0,201.9,202.1,2026-04-19T02:55:13.300973+00:00,3b67ea8c,x86_64,12,Fail
3LM-CLOUD-TR_ON-OPT_ON-03,Legacy,3LM,TR_ON_OPT_ON,CLOUD,3LM,03,3,ON,ON,100.0,3,62.38,37.03,37.03,37.03,49.91,0.13,2.0,203.5,204.6,2026-04-18T23:02:40.923812+00:00,4ea76933,x86_64,12,Optimal
3LM-CLOUD-TR_ON-OPT_ON-50,Legacy,3LM,TR_ON_OPT_ON,CLOUD,3LM,50,50,ON,ON,100.0,50,26.71,28.02,43.54,52.04,15.69,0.21,4.0,213.7,220.5,2026-04-19T02:31:09.588149+00:00,3a00d11b,x86_64,12,Optimal
3LM-LOCAL-TR_OFF-OPT_OFF-03,Legacy,3LM,TR_OFF_OPT_OFF,LOCAL,3LM,03,3,OFF,OFF,0.0,0,100.41,98.07,98.07,98.07,5.96,0.14,4.0,201.6,201.6,2026-04-18T23:17:33.394333+00:00,b3dc909e,x86_64,12,Fail
3LM-LOCAL-TR_OFF-OPT_OFF-50,Legacy,3LM,TR_OFF_OPT_OFF,LOCAL,3LM,50,50,OFF,OFF,4.0,2,77.55,77.06,103.57,108.08,21.61,0.15,6.0,202.6,204.6,2026-04-19T15:56:34.897157+00:00,a36e226a,x86_64,12,Poor
3LM-LOCAL-TR_OFF-OPT_ON-03,Legacy,3LM,TR_OFF_OPT_ON,LOCAL,3LM,03,3,OFF,ON,33.33,1,101.41,99.08,99.08,99.08,5.17,0.15,4.0,201.5,201.5,2026-04-18T23:28:49.773499+00:00,c37aaf1b,x86_64,12,Poor
3LM-LOCAL-TR_OFF-OPT_ON-50,Legacy,3LM,TR_OFF_OPT_ON,LOCAL,3LM,50,50,OFF,ON,88.0,44,277.44,218.65,448.35,548.53,200.45,0.09,6.0,213.4,218.6,2026-04-19T21:31:52.418183+00:00,2d7d228a,x86_64,12,Good
3LM-LOCAL-TR_ON-OPT_OFF-03,Legacy,3LM,TR_ON_OPT_OFF,LOCAL,3LM,03,3,ON,OFF,0.0,0,119.25,128.59,128.59,128.59,26.18,0.14,4.0,201.6,201.7,2026-04-18T23:23:38.071458+00:00,18521de6,x86_64,12,Fail
3LM-LOCAL-TR_ON-OPT_OFF-50-CPU,Legacy,3LM,TR_ON_OPT_OFF,LOCAL,3LM,50,50,ON,OFF,0.0,0,67.57,69.05,90.56,99.07,17.28,0.17,2.0,201.4,201.5,2026-04-20T05:21:50.507967+00:00,ed8e1120,x86_64,12,Fail
3LM-LOCAL-TR_ON-OPT_ON-03,Legacy,3LM,TR_ON_OPT_ON,LOCAL,3LM,03,3,ON,ON,33.33,1,124.93,131.09,131.09,131.09,11.29,0.13,4.0,201.3,201.4,2026-04-18T23:12:24.581223+00:00,44e47014,x86_64,12,Poor
3LM-LOCAL-TR_ON-OPT_ON-50-CPU,Legacy,3LM,TR_ON_OPT_ON,LOCAL,3LM,50,50,ON,ON,82.0,41,71.7,72.3,94.57,105.08,20.25,0.17,4.0,211.1,214.5,2026-04-20T04:16:06.083998+00:00,781b7c3d,x86_64,12,Good
HE-CLOUD-TR_OFF-OPT_OFF-03,Legacy,HE,TR_OFF_OPT_OFF,CLOUD,HUMANEVAL,03,3,OFF,OFF,0.0,0,23.68,14.01,14.01,14.01,17.34,0.18,4.0,189.6,189.7,2026-04-18T22:26:59.145430+00:00,214cd138,x86_64,12,Fail
HE-CLOUD-TR_OFF-OPT_OFF-50,Legacy,HE,TR_OFF_OPT_OFF,CLOUD,HUMANEVAL,50,50,OFF,OFF,0.0,0,18.69,15.26,36.03,48.04,14.55,0.24,4.0,190.7,190.9,2026-04-19T02:08:41.018060+00:00,7cd822de,x86_64,12,Fail
HE-CLOUD-TR_OFF-OPT_ON-03,Legacy,HE,TR_OFF_OPT_ON,CLOUD,HUMANEVAL,03,3,OFF,ON,100.0,3,39.03,46.03,46.03,46.03,17.47,0.15,2.0,189.6,189.7,2026-04-18T22:31:17.305652+00:00,d9818fa3,x86_64,12,Optimal
HE-CLOUD-TR_OFF-OPT_ON-50,Legacy,HE,TR_OFF_OPT_ON,CLOUD,HUMANEVAL,50,50,OFF,ON,100.0,50,24.81,20.52,44.54,58.55,18.88,0.21,4.0,191.0,191.3,2026-04-19T01:52:53.032403+00:00,8b7f85a7,x86_64,12,Optimal
HE-CLOUD-TR_ON-OPT_OFF-03,Legacy,HE,TR_ON_OPT_OFF,CLOUD,HUMANEVAL,03,3,ON,OFF,0.0,0,41.19,35.52,35.52,35.52,18.02,0.14,2.0,189.4,189.5,2026-04-18T22:29:11.554426+00:00,76745ebb,x86_64,12,Fail
HE-CLOUD-TR_ON-OPT_OFF-50,Legacy,HE,TR_ON_OPT_OFF,CLOUD,HUMANEVAL,50,50,ON,OFF,0.0,0,23.74,18.26,49.54,64.56,16.77,0.21,4.0,190.8,191.1,2026-04-19T01:31:58.043632+00:00,9af204a4,x86_64,12,Fail
HE-CLOUD-TR_ON-OPT_ON-03,Legacy,HE,TR_ON_OPT_ON,CLOUD,HUMANEVAL,03,3,ON,ON,100.0,3,22.35,21.01,21.01,21.01,9.85,0.23,2.0,189.6,189.6,2026-04-18T22:25:39.286901+00:00,287a3676,x86_64,12,Optimal
HE-CLOUD-TR_ON-OPT_ON-50,Legacy,HE,TR_ON_OPT_ON,CLOUD,HUMANEVAL,50,50,ON,ON,100.0,50,21.45,15.76,42.54,55.05,17.72,0.26,4.0,191.1,191.5,2026-04-19T01:02:40.287525+00:00,8dc2a154,x86_64,12,Optimal
HE-LOCAL-TR_OFF-OPT_OFF-03,Legacy,HE,TR_OFF_OPT_OFF,LOCAL,HUMANEVAL,03,3,OFF,OFF,0.0,0,90.9,97.58,97.58,97.58,23.76,0.14,4.0,190.4,190.5,2026-04-18T22:49:04.046421+00:00,05a8d12c,x86_64,12,Fail
HE-LOCAL-TR_OFF-OPT_OFF-50,Legacy,HE,TR_OFF_OPT_OFF,LOCAL,HUMANEVAL,50,50,OFF,OFF,0.0,0,75.51,74.55,94.07,99.07,25.03,0.14,4.0,190.8,191.0,2026-04-19T08:47:47.505400+00:00,0571e40f,x86_64,12,Fail
HE-LOCAL-TR_OFF-OPT_ON-03,Legacy,HE,TR_OFF_OPT_ON,LOCAL,HUMANEVAL,03,3,OFF,ON,33.33,1,97.73,97.56,97.56,97.56,20.63,0.13,2.0,190.3,190.4,2026-04-18T22:59:26.972771+00:00,cf9ce887,x86_64,12,Poor
HE-LOCAL-TR_OFF-OPT_ON-50,Legacy,HE,TR_OFF_OPT_ON,LOCAL,HUMANEVAL,50,50,OFF,ON,88.0,44,78.78,78.56,104.58,105.08,25.57,0.14,4.0,191.2,191.5,2026-04-19T07:44:37.582289+00:00,8df37373,x86_64,12,Good
HE-LOCAL-TR_ON-OPT_OFF-03,Legacy,HE,TR_ON_OPT_OFF,LOCAL,HUMANEVAL,03,3,ON,OFF,0.0,0,104.25,93.57,93.57,93.57,19.49,0.14,2.0,190.1,190.2,2026-04-18T22:54:25.286910+00:00,5ca6e85c,x86_64,12,Fail
HE-LOCAL-TR_ON-OPT_OFF-50,Legacy,HE,TR_ON_OPT_OFF,LOCAL,HUMANEVAL,50,50,ON,OFF,0.0,0,97.99,99.07,125.59,136.6,31.29,0.14,6.0,191.0,191.2,2026-04-19T06:38:44.817268+00:00,f7ac1c2c,x86_64,12,Fail
HE-LOCAL-TR_ON-OPT_ON-03,Legacy,HE,TR_ON_OPT_ON,LOCAL,HUMANEVAL,03,3,ON,ON,66.67,2,158.83,186.78,186.78,186.78,41.2,0.11,2.0,189.6,189.8,2026-04-18T22:44:22.903839+00:00,eabdd467,x86_64,12,Moderate
HE-LOCAL-TR_ON-OPT_ON-50,Legacy,HE,TR_ON_OPT_ON,LOCAL,HUMANEVAL,50,50,ON,ON,84.0,42,106.23,103.07,155.14,167.12,34.45,0.14,6.0,191.1,191.3,2026-04-19T05:16:49.057157+00:00,0ad541ae,x86_64,12,Good
T1_CLOUD_FULL_3LM,Legacy,T1_CLOUD_FULL_3LM,Unknown_Unknown,Unknown,HUMANEVAL,50,3,ON,ON,100.0,3,28.46,24.51,43.03,43.03,13.43,0.2,2.0,190.4,190.5,2026-04-18T18:36:22.891745+00:00,08a8eadd,x86_64,12,Optimal
T2_CLOUD_NO_TRANS,Legacy,T2_CLOUD_NO_TRANS,Unknown_Unknown,Unknown,HUMANEVAL,50,3,OFF,ON,66.67,2,29.07,30.52,40.02,40.02,10.4,0.16,4.0,190.1,190.3,2026-04-18T18:40:59.027425+00:00,92f1b472,x86_64,12,Moderate
T2_NO_TRANS,Legacy,T2_NO_TRANS,Unknown_Unknown,Unknown,HUMANEVAL,50,3,OFF,ON,100.0,3,27.63,26.02,41.02,41.02,9.36,0.16,2.0,190.2,190.3,2026-04-18T18:41:21.022950+00:00,2a6691aa,x86_64,12,Optimal
T3_CLOUD_NO_OPT,Legacy,T3_CLOUD_NO_OPT,Unknown_Unknown,Unknown,HUMANEVAL,50,3,ON,OFF,0.0,0,50.64,32.52,84.55,84.55,27.18,0.13,2.0,190.5,190.6,2026-04-18T18:48:53.930404+00:00,e899e9c4,x86_64,12,Fail
T3_NO_OPTIMIZER,Legacy,T3_NO_OPTIMIZER,Unknown_Unknown,Unknown,HUMANEVAL,50,3,ON,OFF,0.0,0,31.96,30.52,43.03,43.03,9.12,0.14,2.0,190.3,190.4,2026-04-18T18:53:10.235802+00:00,225b4c59,x86_64,12,Fail
T4_CLOUD_3LM_3TEST,Legacy,T4_CLOUD_3LM_3TEST,Unknown_Unknown,Unknown,HUMANEVAL,50,3,ON,ON,100.0,3,38.3,36.52,45.03,45.03,9.5,0.14,2.0,190.2,190.3,2026-04-18T18:23:15.671919+00:00,4951a2d1,x86_64,12,Optimal
T4_CLOUD_BASELINE,Legacy,T4_CLOUD_BASELINE,Unknown_Unknown,Unknown,HUMANEVAL,50,3,OFF,OFF,0.0,0,20.51,19.01,26.52,26.52,8.27,0.17,2.0,190.1,190.2,2026-04-18T18:52:17.666356+00:00,7ec291d1,x86_64,12,Fail
T5_LOCAL_FULL,Legacy,T5_LOCAL_FULL,Unknown_Unknown,Unknown,HUMANEVAL,50,3,ON,ON,66.67,2,483.11,512.46,659.26,659.26,155.19,0.07,4.0,193.9,194.1,2026-04-18T20:05:04.342659+00:00,b560f66d,x86_64,12,Moderate
TEST_CLOUD_3_FIXED,Legacy,TEST_CLOUD_3_FIXED,Unknown_Unknown,Unknown,HUMANEVAL,50,3,OFF,ON,100.0,3,46.14,36.52,74.54,74.54,24.89,0.13,4.0,190.0,190.1,2026-04-18T18:15:49.056613+00:00,c9cd786b,x86_64,12,Optimal
TEST_CLOUD_3_OPTIMIZED,Legacy,TEST_CLOUD_3_OPTIMIZED,Unknown_Unknown,Unknown,HUMANEVAL,50,3,OFF,ON,100.0,3,34.46,27.01,42.52,42.52,19.57,0.13,4.0,190.4,190.5,2026-04-18T18:17:43.841282+00:00,6180bebd,x86_64,12,Optimal
TEST_QUICK,Legacy,TEST_QUICK,Unknown_Unknown,Unknown,HUMANEVAL,50,1,OFF,ON,100.0,1,42.02,42.02,42.02,42.02,0.0,0.1,2.0,190.2,190.2,2026-04-18T18:15:30.029279+00:00,d685fd53,x86_64,12,Optimal
TEST_V2,Legacy,TEST_V2,Unknown_Unknown,Unknown,HUMANEVAL,50,3,OFF,ON,100.0,3,41.69,41.52,47.53,47.53,11.88,0.1,2.0,190.2,190.2,2026-04-18T18:19:47.861628+00:00,3d6c96a1,x86_64,12,Optimal
